sentence	sentence_id	locale	reason
मैं बहुत सारे चीज़ें करता हूँ।	096147bc284815c974fe2cd7bb57cf318227ccc098c4cb4da4dd060cc6cb8e83	hi	grammar-or-spelling
मैं एक विध्यार्थी हूँ।	0cafb17647a1e1a1f90e546fcd2865e2dbca388cd1b42c369cc43b9efe536f01	hi	grammar-or-spelling
यह मेरा लंड है।	070c80ce4dd18cda23cbaef50618bf914c7713364ddaf4a1ca479d1f5937cf13	hi	offensive-language
मैं उनसे इतना प्यार करता हूँ कि मैं उन्हें छोड़ नहीं सकती।	422e421fdd079d5d052029825144ffbe9cbfe7c693f051dfaafb06d6e5f2dd90	hi	grammar-or-spelling
मैंने कई दोस्तों को चोदा।	3952e0f37ff6d498a53bcb753cf0dd48500cd5b8e55a9c9f0e1af7092517a403	hi	offensive-language
मुझे डिल्डो इस्तेमाल करना अच्छा नहीं लगता, उससे अच्छा मुझे असली लंड पसंद हैं।	088fdd491dadd613b9a769ffe707e71078a231d2daa4f881352bdf3e38aac785	hi	offensive-language
मैंने कई दोस्तों को चोदा।	3952e0f37ff6d498a53bcb753cf0dd48500cd5b8e55a9c9f0e1af7092517a403	hi	offensive-language
मुझे डिल्डो इस्तेमाल करना अच्छा नहीं लगता, उससे अच्छा मुझे असली लंड पसंद हैं।	088fdd491dadd613b9a769ffe707e71078a231d2daa4f881352bdf3e38aac785	hi	offensive-language
मैं १९४५ में हिरोशिमा में पैदा हुई था।	38ee7887ebbb56e753768c658cf0f0a0b8b08a2c97ab8f963f1552c66abae615	hi	grammar-or-spelling
मुझे ऑक्सिटन पसंद है।	3a17f41c00e0c7c69939c2b20f594b6e53f330ba92f13c0751eee1ecad8c23d5	hi	grammar-or-spelling
मुझा उसकी लिखी हुई एक चिट्ठी मिली।	54465554b6a47cf38fede44e3880c4e8519112ac9ee34d7daff011f42be60cc9	hi	grammar-or-spelling
दो साल पुरानी हैं सनी लियोन की स्ट्रिप डांस की ये तस्‍वीरें!	4451ecf69a6668ce2df22d2bb40122d6ecfaa153058f44f26cdd43bc89d58653	hi	offensive-language
मुझे डिल्डो इस्तेमाल करना अच्छा नहीं लगता, उससे अच्छा मुझे असली लंड पसंद हैं।	088fdd491dadd613b9a769ffe707e71078a231d2daa4f881352bdf3e38aac785	hi	offensive-language
उसकी छोटी बहन चोदने लायक है।	53d3ccf98ba29df2be558d7a236e58690c6d61d394fd6e8b7ae185d85355cec3	hi	offensive-language
मुझे डिल्डो इस्तेमाल करना अच्छा नहीं लगता, उससे अच्छा मुझे असली लंड पसंद हैं।	088fdd491dadd613b9a769ffe707e71078a231d2daa4f881352bdf3e38aac785	hi	offensive-language
उसकी छोटी बहन चोदने लायक है।	53d3ccf98ba29df2be558d7a236e58690c6d61d394fd6e8b7ae185d85355cec3	hi	offensive-language
मैं रूस में जन्मा थी।	62e69e1dbf1a8e77b65fb99d8872eed80f9492922bbe04864b612a36d1e97620	hi	grammar-or-spelling
क्या गांडू है!	5a978a0b93e2561fda24695fa702a16e478d4ebc1a5981e90bcdd2a92cfc5b9a	hi	offensive-language
मरा लंड चूस।	6e10d831c3923cde523dceba96e926ff0402b52ecaeade600701073ace2e990a	hi	offensive-language
सपा नेता की कुल्हाड़ी से काटकर हत्या	66127a7d20fe19e5db7a57dcc776f1a0b5cae3d51934ea6ca580e1fad9b42fa3	hi	offensive-language
माँचोद!	76317c7373c54f9a8ff466f97bd57c8f6143e21d61d330089fa64125c771b6c1	hi	offensive-language
मेरा लुंड उसके लिए खड़ा है।	643a0c569d44abb9467a43ce40a7474d917023734aaa9c7cf2b0ac836d9f7203	hi	offensive-language
मैंने कई सहेलियों को चोदा।	74e2f0e38be0cbe071ed2a03d9816539a7a5f8f081fd264a43d319f7a3662313	hi	offensive-language
मुझे डिल्डो इस्तेमाल करना अच्छा नहीं लगता, उससे अच्छा मुझे असली लंड पसंद हैं।	088fdd491dadd613b9a769ffe707e71078a231d2daa4f881352bdf3e38aac785	hi	offensive-language
उसकी छोटी बहन चोदने लायक है।	53d3ccf98ba29df2be558d7a236e58690c6d61d394fd6e8b7ae185d85355cec3	hi	offensive-language
उसने अपनी गाड़ी बिना हिचकिचाहट हे बेच दी।	85b9312e9ee046ca85a21e3f0121fe44d2f7734e6fc9974122d622ad1842a2e6	hi	grammar-or-spelling
मरा लंड चूस।	6e10d831c3923cde523dceba96e926ff0402b52ecaeade600701073ace2e990a	hi	offensive-language
माँचोद!	76317c7373c54f9a8ff466f97bd57c8f6143e21d61d330089fa64125c771b6c1	hi	offensive-language
तुम नसीब वालो हो जिसके इतना प्यार करने वाले माँ-बाप हैं।	8f329942bf61fca748eae2fb173c714888adba8d21cf102cd7251bcfa2b22b17	hi	grammar-or-spelling
मुझे डिल्डो इस्तेमाल करना अच्छा नहीं लगता, उससे अच्छा मुझे असली लंड पसंद हैं।	088fdd491dadd613b9a769ffe707e71078a231d2daa4f881352bdf3e38aac785	hi	offensive-language
मुझे डिल्डो इस्तेमाल करना अच्छा नहीं लगता, उससे अच्छा मुझे असली लंड पसंद हैं।	088fdd491dadd613b9a769ffe707e71078a231d2daa4f881352bdf3e38aac785	hi	abusive
कहावत तो तुमने सुनी ही होगी: लंबा नाक, लंबा लंड।	3a8c3495f29dca230c08312df5df7fab1bed513e553b621e63de56343256a89b	hi	offensive-language
कहावत तो तुमने सुनी ही होगी: लंबा नाक, लंबा लंड।	3a8c3495f29dca230c08312df5df7fab1bed513e553b621e63de56343256a89b	hi	sexually abusive 
तुम नसीब वालो हो जिसके इतना प्यार करने वाले माँ-बाप हैं।	8f329942bf61fca748eae2fb173c714888adba8d21cf102cd7251bcfa2b22b17	hi	grammar-or-spelling
राज ठाकरे ने अब मलेरिया फैलने के लिए ‘बाहरियों’ पर आरोप लगाया	9ce4100a10a82739edaae80c0a9923eb25118ab8be33376b8654cc33c4251477	hi	grammar-or-spelling
टॉम को वहीं चाहिए था।	9f5171db60d7ad367b9688d999022f2e458dbcefafb7bd6270282e990af49a72	hi	grammar-or-spelling
मुझे परिस्तिथि के बदतर होने का डर है।	6e578a743bde9c4138b46c4191ad5239ebc346f634b29e28c84629b39d66bba4	hi	grammar-or-spelling
"समाज की कशमकश बयां करती 'धरा अंकुराई'"	9cfd90c95e311c0c9358c75ddb512bf1b47792dc6d3437716ca258876532052a	hi	grammar-or-spelling
तुम बिलकुल भी डरे हुए नहीं लगती हो।	a12190c7737e2e26c95ef3d8a27d31483e4d96d0381529258a5cc2591263d027	hi	grammar-or-spelling
फ़ुटबॉल मेरा सबसे पसंदीता खेल है।	78cf2b68707016095d30553e4b9e64c56dbf02224dd7aab63da804db081d3eb6	hi	grammar-or-spelling
"जब विमान 'टिप टिप' बरसा पानी, देखें वीडियो"	9bb0876ed98104950eebf50a68cd40731d3790dcfd618e3a44b5434b02d65a8b	hi	grammar-or-spelling
इससे में बहुत अमीर बन गया।	965efe9c19ed244b535134e157b5ad53f0c9acd1b0f2b829da7ea89f7eff479e	hi	grammar-or-spelling
मैं आपके बात से सहमत हूँ	a1fdad8dd2d5d780bed7011872e04846075108f1c648e5a2352acb45c64f8e35	hi	grammar-or-spelling
उस चाबी के साथतानी मत करो!	a6341f78833b656273b1bc715adc0ad6a385e0c5aa7bd641b821e2bb10eccf23	hi	grammar-or-spelling
मुझे इस बात का पछतावा है कि मैंने उसका ठीक से बरताव नहीं किया।	a14c48c6880bf55129402dd4196dc5d105992d47f5d2e0b3399a9e895a8496dc	hi	grammar-or-spelling
केट को एक फ़िल्म में प्रमुख भूमिका निभाने का मौका दिया गया गै।	a2ac15a77b2dec890d3e90119d9e3d8765d1ec9014742be51ef47d333b27905a	hi	grammar-or-spelling
Xiaomi का नया Mi Notebook Air लॉन्च, कीमत-खूबियां	8fb1fde32dc1472845d7e838b68923d5fcfa5f3bacde15d4061a9d90b63a0e19	hi	grammar-or-spelling
ईरान और उत्तर कोरिया के परमाणु क्षमताओं से पूरी दुनिया परेशान है।	928c9228239b62b662b076b6ddbb9d55fad1dd3d5346c01e267d3f69859577b3	hi	grammar-or-spelling
मैं पता लगाऊँगा कि यह दिवाई कैसे काम करती है।	b30d13ad00f29d46df53d1fa292843dacd9d97126b09e28defd4c4cbd970619d	hi	grammar-or-spelling
Datamatics Financial Services Ltd, मुंबई में नौकरी	a2af5ec555bfb86218f14a2a1ba193850ba36c832e24b13777e3c5bc96bd1c61	hi	different-language
मेरी बेटी हस्पताल में है क्योंकि उसे यातायात दुर्घटना में चोट पहुँची है।	b27c1ceceb0adbee9d36e80438bf67824d6fc01fc1ef8fa5252c23ef913952ac	hi	grammar-or-spelling
Xiaomi का नया Mi Notebook Air लॉन्च, कीमत-खूबियां	8fb1fde32dc1472845d7e838b68923d5fcfa5f3bacde15d4061a9d90b63a0e19	hi	different-language
टॉम को उसकी बॅग नहीं मिल रही।	b5ead91dbf8a48f9d57a6728be000fb14d1ebcef20599cd39e2625d259547eef	hi	grammar-or-spelling
गुड़गांवः कॉल सेंटर में काम करने वाले लड़की को अगवा कर किया गैंगरेप	78d41e2f6089e4fb13643f3a520abbed5eed0c7120bdc2a7128aba8906d1162e	hi	grammar-or-spelling
मुझे चीनी-वाला चीज़ें नहीं खानी चाहिएँ।	b23e590238f24298f41d8e1246db314df3740920c6d2751a4de9e762b1f74e29	hi	grammar-or-spelling
रॅशेल कॉरी एक अमरीकी ती जो गाज़ा में मारी गयी थीं।	b8486498eeaa3cd5f0a24e682635c01f8be5f347d161a35f8cb83991fafd9e9b	hi	grammar-or-spelling
आँसू उसकी गालों पर बह गए।	a5606833617d47f916e2166e7dc0e0b201153c59f71f36467fa244c0510f967b	hi	grammar-or-spelling
टॉम को उसकी बॅग नहीं मिल रही।	b5ead91dbf8a48f9d57a6728be000fb14d1ebcef20599cd39e2625d259547eef	hi	grammar-or-spelling
वह वह खिड़की है जिसको टॉम ने कल थोड़ा था।	ade59ba58de333f7d844f32afc4c47cb53d9d0cc216f2d6d1f43d30d59f0c8d9	hi	grammar-or-spelling
उसे दरवाज़ा खोलते ही किसी चीज़ के जलने की बदबू सुँघाई दी।	c5160f5e7dfe3049656a0dec8c9f684d60a010acf752fe11f5c2231fd4cbc54c	hi	grammar-or-spelling
मुझे भुख लगी है	cbb2b5a8f5bd00208cb5f4bafdab7b8a0ebbeb1f53ed64eda0a9eeb31de33c1c	hi	grammar-or-spelling
वह वह खिड़की है जिसको टॉम ने कल थोड़ा था।	ade59ba58de333f7d844f32afc4c47cb53d9d0cc216f2d6d1f43d30d59f0c8d9	hi	grammar-or-spelling
कहावत तो तुमने सुनी ही होगी: लंबा नाक, लंबा लंड।	3a8c3495f29dca230c08312df5df7fab1bed513e553b621e63de56343256a89b	hi	offensive-language
कहाँ चले गई हो?	d2d86babe3f4078a63b4359656f6ce28f30ba9ebd714b2be5ef00fd248ff335e	hi	grammar-or-spelling
रॅशेल कॉरी एक अमरीकी ती जो गाज़ा में मारी गयी थीं।	b8486498eeaa3cd5f0a24e682635c01f8be5f347d161a35f8cb83991fafd9e9b	hi	grammar-or-spelling
उसे दरवाज़ा खोलते ही किसी चीज़ के जलने की बदबू सुँघाई दी।	c5160f5e7dfe3049656a0dec8c9f684d60a010acf752fe11f5c2231fd4cbc54c	hi	grammar-or-spelling
रॅशेल कॉरी एक अमरीकी ती जो गाज़ा में मारी गयी थीं।	b8486498eeaa3cd5f0a24e682635c01f8be5f347d161a35f8cb83991fafd9e9b	hi	grammar-or-spelling
Time person of the Year: जीतकर भी क्यों हारे मोदी?	025edc158133eeffcb4bb26286bf5350408d6e4315ea85cd6bab9f97be325a59	hi	different-language
मैं भारत में रहता हुँ	0074205164aa34dbb637c0a0cec85ff78a463c0aeac59c01e3652e7f41f7cb60	hi	grammar-or-spelling
धर्मातरण पर प्रतिबंध के लिए केन्द्रीय कानून नहीं	06b42276018fa9d97f5e5ed57f1bb646eca0132c66d050dc0a21aa5f8fe39341	hi	grammar-or-spelling
ओबामा ने कहा आईएश के खिलाफ नहीं मानी अभी हार	02bff927f500fc2a5b165aaa3a5a5ee0d8f93e5b21898879d580cc3221366f23	hi	grammar-or-spelling
युवा भारतीयों के ना पसंदीदा नेता विलेन	0ae9627651af83388240d93eeab6f70643161d1e08eda7119750f5d08cb9712f	hi	grammar-or-spelling
"... और जब खुली कैथरीन की बिकनी | 'हॉट गर्ल'"	0ec7d5d6b74cb76f4ee0efd1e240bd45033b9939e0dcf718887d1b0327be27e3	hi	offensive-language
"... और जब खुली कैथरीन की बिकनी | 'हॉट गर्ल'"	0ec7d5d6b74cb76f4ee0efd1e240bd45033b9939e0dcf718887d1b0327be27e3	hi	grammar-or-spelling
क्या मैं आपकी मदद कर सकता हुँ	099f86346aa666ce69ba23068923c7ba909b77f827f0948e7f29aa843c85fdc3	hi	grammar-or-spelling
मोतिहारी: सेंट्रल यूनिवर्सिटी की महिला प्रोफेसर ने लगाया यौन शोषण का आरोप, केस दर्ज	18f7a18cb3afa81bfd8d6c9a9957d0d96f52fe3d78aa0c2418af9fe9a4bc3e01	hi	offensive-language
खुलासाः अफीम खाकर बलात्कार करता था जलेबी बाबा, अश्लील साहित्य भी बरामद	2afde15299ff6c745cf1baeeefc9c9616ab82337e11cb1d41a4d98a126339808	hi	offensive-language
नाबालिग को अगवा कर तीन महीने से कर रहा था रेप	25872929b84332f855aa8947627b79ecf1a96fa90267acb5f923b0cab241e294	hi	offensive-language
चोदिये मुझे।	3323420c4e888438ef244c7b207cfa00942f6c4dc31ba9def04829af5c0c25a2	hi	offensive-language
पुणे: स्कूल का तुगलकी फरमान, लड़कियों को पहनने होंगे इस रंग के इनरवियर	334efa4dc7b8f892456d01c9c677fe7a81d8f132cdb3b6131e4c884e6a6cd2e2	hi	offensive-language
मडर्स डे से पहले कलयुगी बेटे ने मां संग की शर्मनाक करतूत	2801243d405913fd9b044682095fc7b179812a600afa312ae3b02f55fe6fd5c5	hi	offensive-language
मुझे तुम्हें चोदना है।	3006bcdd554b423ad0580b17a2dd142be2fc8574a4525d954bc24ac5cf042919	hi	offensive-language
आपका शिश्न छोटा है।	0511a2732e225c498de47fe05847b2cbdee99ca38403386bef8d482b5cb6a54a	hi	offensive-language
मुझे तुम्हें चोदना है।	3006bcdd554b423ad0580b17a2dd142be2fc8574a4525d954bc24ac5cf042919	hi	offensive-language
आपका शिश्न छोटा है।	0511a2732e225c498de47fe05847b2cbdee99ca38403386bef8d482b5cb6a54a	hi	offensive-language
मडर्स डे से पहले कलयुगी बेटे ने मां संग की शर्मनाक करतूत	2801243d405913fd9b044682095fc7b179812a600afa312ae3b02f55fe6fd5c5	hi	offensive-language
ग्रेटर नोएडा में लूटपाट के लिए एक व्‍यक्ति को हत्‍या	3047aaf1e940f219ed04b6aa38ab7be6d64903863c063b5ac745fd4c8cc42055	hi	grammar-or-spelling
बीजेपी में शामिल हुए मशहूर संगीतकार साजिद-वाजिद	3ee04a9913f2d1a20809b331ad94cf9429d3d343b13ea4caab4303dd16774e6f	hi	offensive-language
ऋण को मंजूरी देते समय संपूर्ण प्रक्रिया अपनाई गईः एलआईसी हाउसिंग	3a57724c5619c7acadc70a81ce3eb3c6f786722e7802ee8c98ea245c1430b9da	hi	offensive-language
